            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,
2448054.500000000, A.D. 1990-Jun-12 00:00:00.0000,  2.857805863928386E+04,  5.245733057403400E+04, -6.334616162545157E+03,  8.795607216101189E-03,  2.500263398712173E-03, -1.574769288050730E-04,
2448055.500000000, A.D. 1990-Jun-13 00:00:00.0000,  2.933787660570886E+04,  5.267393169375453E+04, -6.348228174615035E+03,  8.792778983239935E-03,  2.513666685242006E-03, -1.576157169179721E-04,
2448056.500000000, A.D. 1990-Jun-14 00:00:00.0000,  3.009745206813855E+04,  5.289169489802250E+04, -6.361852109776326E+03,  8.789993106158217E-03,  2.527164450863789E-03, -1.577528127744588E-04,
2448057.500000000, A.D. 1990-Jun-15 00:00:00.0000,  3.085678852165343E+04,  5.311062859821323E+04, -6.375487791098754E+03,  8.787245644662448E-03,  2.540762476405195E-03, -1.578874901097623E-04,
2448058.500000000, A.D. 1990-Jun-16 00:00:00.0000,  3.161588908443737E+04,  5.333074171185201E+04, -6.389134974909137E+03,  8.784531792253506E-03,  2.554466679752920E-03, -1.580189296084807E-04,
2448059.500000000, A.D. 1990-Jun-17 00:00:00.0000,  3.237475641719614E+04,  5.355204366924537E+04, -6.402793342648078E+03,  8.781845744118305E-03,  2.568282987874508E-03, -1.581462171680730E-04,
2448060.500000000, A.D. 1990-Jun-18 00:00:00.0000,  3.313339263151259E+04,  5.377454440706428E+04, -6.416462492770677E+03,  8.779180575041333E-03,  2.582217161885375E-03, -1.582683469095600E-04,
2448061.500000000, A.D. 1990-Jun-19 00:00:00.0000,  3.389179918856417E+04,  5.399825434463787E+04, -6.430141933168698E+03,  8.776528140992213E-03,  2.596274571413869E-03, -1.583842305042447E-04,
2448062.500000000, A.D. 1990-Jun-20 00:00:00.0000,  3.464997679097699E+04,  5.422318433854499E+04, -6.443831074729438E+03,  8.773879021918474E-03,  2.610459918235216E-03, -1.584927144280031E-04,
2448063.500000000, A.D. 1990-Jun-21 00:00:00.0000,  3.540792527228050E+04,  5.444934561129117E+04, -6.457529226785195E+03,  8.771222527371678E-03,  2.624776914049801E-03, -1.585926067304235E-04,
2448064.500000000, A.D. 1990-Jun-22 00:00:00.0000,  3.616564349048372E+04,  5.467674965053492E+04, -6.471235595341013E+03,  8.768546791019642E-03,  2.639227923372642E-03, -1.586827148148161E-04,
2448065.500000000, A.D. 1990-Jun-23 00:00:00.0000,  3.692312923398853E+04,  5.490540807690787E+04, -6.484949284994600E+03,  8.765838966836552E-03,  2.653813603657031E-03, -1.587618927800997E-04,
2448066.500000000, A.D. 1990-Jun-24 00:00:00.0000,  3.768037915092925E+04,  5.513533248223887E+04, -6.498669305418936E+03,  8.763085548687027E-03,  2.668532574553037E-03, -1.588290977135012E-04,
2448067.500000000, A.D. 1990-Jun-25 00:00:00.0000,  3.843738870756104E+04,  5.536653424059580E+04, -6.512394582726733E+03,  8.760272792128052E-03,  2.683381144063938E-03, -1.588834507230575E-04,
2448068.500000000, A.D. 1990-Jun-26 00:00:00.0000,  3.919415219326010E+04,  5.559902430197041E+04, -6.526123976526867E+03,  8.757387282416349E-03,  2.698353174384951E-03, -1.589242999863814E-04,
2448069.500000000, A.D. 1990-Jun-27 00:00:00.0000,  3.995066277276719E+04,  5.583281297990493E+04, -6.539856301808210E+03,  8.754416504453319E-03,  2.713440086479123E-03, -1.589512726490842E-04,
2448070.500000000, A.D. 1990-Jun-28 00:00:00.0000,  4.070691259092855E+04,  5.606790974750884E+04, -6.553590354953380E+03,  8.751349466865123E-03,  2.728631053773646E-03, -1.589643162493925E-04,
2448071.500000000, A.D. 1990-Jun-29 00:00:00.0000,  4.146289292960722E+04,  5.630432305867458E+04, -6.567324942479732E+03,  8.748177269950220E-03,  2.743913389410046E-03, -1.589637191829848E-04,
2448072.500000000, A.D. 1990-Jun-30 00:00:00.0000,  4.221859440831540E+04,  5.654206021015951E+04, -6.581058910452413E+03,  8.744893539287618E-03,  2.759273097798428E-03, -1.589501054167370E-04,
2448073.500000000, A.D. 1990-Jul-01 00:00:00.0000,  4.297400721465154E+04,  5.678112725656623E+04, -6.594791172309282E+03,  8.741494676242039E-03,  2.774695537188261E-03, -1.589244033265671E-04,
2448074.500000000, A.D. 1990-Jul-02 00:00:00.0000,  4.372912134759050E+04,  5.702152898495838E+04, -6.608520732991352E+03,  8.737979903426779E-03,  2.790166125575948E-03, -1.588877921728846E-04,
2448075.500000000, A.D. 1990-Jul-03 00:00:00.0000,  4.448392685584452E+04,  5.726326894972664E+04, -6.622246707695986E+03,  8.734351107391718E-03,  2.805671017522720E-03, -1.588416323372865E-04,
2448076.500000000, A.D. 1990-Jul-04 00:00:00.0000,  4.523841405465942E+04,  5.750634956220456E+04, -6.635968334175141E+03,  8.730612502392281E-03,  2.821197684355192E-03, -1.587873870260904E-04,
2448077.500000000, A.D. 1990-Jul-05 00:00:00.0000,  4.599257370731072E+04,  5.775077222425809E+04, -6.649684978197816E+03,  8.726770158065448E-03,  2.836735344765235E-03, -1.587265437000942E-04,
2448078.500000000, A.D. 1990-Jul-06 00:00:00.0000,  4.674639716198917E+04,  5.799653749147050E+04, -6.663396132496564E+03,  8.722831450191029E-03,  2.852275217015622E-03, -1.586605430155296E-04,
2448079.500000000, A.D. 1990-Jul-07 00:00:00.0000,  4.749987644049071E+04,  5.824364525044907E+04, -6.677101410132806E+03,  8.718804507450401E-03,  2.867810597793241E-03, -1.585907215586068E-04,
2448080.500000000, A.D. 1990-Jul-08 00:00:00.0000,  4.825300428192447E+04,  5.849209489702395E+04, -6.690800533656940E+03,  8.714697738210741E-03,  2.883336816232502E-03, -1.585182721252907E-04,
2448081.500000000, A.D. 1990-Jul-09 00:00:00.0000,  4.900577414793485E+04,  5.874188550550082E+04, -6.704493321463198E+03,  8.710519373801356E-03,  2.898851051768152E-03, -1.584442166393405E-04,
2448082.500000000, A.D. 1990-Jul-10 00:00:00.0000,  4.975818019146586E+04,  5.899301597735863E+04, -6.718179672474014E+03,  8.706277156925232E-03,  2.914352088259041E-03, -1.583693976034704E-04,
2448083.500000000, A.D. 1990-Jul-11 00:00:00.0000,  5.051021720466849E+04,  5.924548516828434E+04, -6.731859550676887E+03,  8.701978105993692E-03,  2.929840031775645E-03, -1.582944794919051E-04,
2448084.500000000, A.D. 1990-Jul-12 00:00:00.0000,  5.126188054953732E+04,  5.949929198988421E+04, -6.745532970142196E+03,  8.697628376554169E-03,  2.945316022492580E-03, -1.582199595412349E-04,
2448085.500000000, A.D. 1990-Jul-13 00:00:00.0000,  5.201316608007717E+04,  5.975443548692716E+04, -6.759199981260503E+03,  8.693233197200979E-03,  2.960781959268096E-03, -1.581461843471590E-04,
2448086.500000000, A.D. 1990-Jul-14 00:00:00.0000,  5.276407006171338E+04,  6.001091489212603E+04, -6.772860658560203E+03,  8.688796866527205E-03,  2.976240256177502E-03, -1.580733694589059E-04,
2448087.500000000, A.D. 1990-Jul-15 00:00:00.0000,  5.351458909240748E+04,  6.026872966144013E+04, -6.786515090271963E+03,  8.684322792903845E-03,  2.991693635543794E-03, -1.580016199281922E-04,
2448088.500000000, A.D. 1990-Jul-16 00:00:00.0000,  5.426472002851438E+04,  6.052787949312727E+04, -6.800163369655185E+03,  8.679813562249202E-03,  3.007144958707815E-03, -1.579309503490042E-04,
2448089.500000000, A.D. 1990-Jul-17 00:00:00.0000,  5.501445991726947E+04,  6.078836433376299E+04, -6.813805587997471E+03,  8.675271022006017E-03,  3.022597093154268E-03, -1.578613034192919E-04,
2448090.500000000, A.D. 1990-Jul-18 00:00:00.0000,  5.576380593689677E+04,  6.105018437423521E+04, -6.827441829132560E+03,  8.670696372275917E-03,  3.038052812658891E-03, -1.577925664657739E-04,
2448091.500000000, A.D. 1990-Jul-19 00:00:00.0000,  5.651275534465312E+04,  6.131334003837541E+04, -6.841072165288639E+03,  8.666090257470503E-03,  3.053514725846028E-03, -1.577245856985363E-04,
2448092.500000000, A.D. 1990-Jul-20 00:00:00.0000,  5.726130543264282E+04,  6.157783196645742E+04, -6.854696654069739E+03,  8.661452853925847E-03,  3.068985227944751E-03, -1.576571782029065E-04,
2448093.500000000, A.D. 1990-Jul-21 00:00:00.0000,  5.800945349092157E+04,  6.184366099534332E+04, -6.868315336381067E+03,  8.656783950692184E-03,  3.084466470605536E-03, -1.575901418322282E-04,
2448094.500000000, A.D. 1990-Jul-22 00:00:00.0000,  5.875719677723316E+04,  6.211082813663952E+04, -6.881928235126728E+03,  8.652083022153286E-03,  3.099960345388375E-03, -1.575232632366665E-04,
2448095.500000000, A.D. 1990-Jul-23 00:00:00.0000,  5.950453249265588E+04,  6.237933455390333E+04, -6.895535354528871E+03,  8.647349292250363E-03,  3.115468477956970E-03, -1.574563242499832E-04,
2448096.500000000, A.D. 1990-Jul-24 00:00:00.0000,  6.025145776245387E+04,  6.264918153977030E+04, -6.909136679932762E+03,  8.642581790883321E-03,  3.130992232112451E-03, -1.573891067584076E-04,
2448097.500000000, A.D. 1990-Jul-25 00:00:00.0000,  6.099796962143341E+04,  6.292037049364604E+04, -6.922732177981154E+03,  8.637779401214652E-03,  3.146532715911011E-03, -1.573213965673627E-04,
2448098.500000000, A.D. 1990-Jul-26 00:00:00.0000,  6.174406500306670E+04,  6.319290290001468E+04, -6.936321797086504E+03,  8.632940900965669E-03,  3.162090793942778E-03, -1.572529862182599E-04,
2448099.500000000, A.D. 1990-Jul-27 00:00:00.0000,  6.248974073192490E+04,  6.346678030803631E+04, -6.949905468104291E+03,  8.628064996711551E-03,  3.177667100810565E-03, -1.571836770687385E-04,
2448100.500000000, A.D. 1990-Jul-28 00:00:00.0000,  6.323499351881362E+04,  6.374200431230037E+04, -6.963483105163028E+03,  8.623150352813750E-03,  3.193262056083405E-03, -1.571132807633463E-04,
